"aas","se.aas","aes","se.aes"
8.71,1.92,7.35,2.07
7.01,1.56,7.92,2.23
3.28,0.76,3.4,0.96
5.6,1.26,5.44,1.53
1.55,0.39,2.07,0.59
1.75,0.43,2.29,0.65
0.73,0.22,0.66,0.19
3.66,0.84,3.43,0.97
0.9,0.25,1.25,0.36
9.39,2.07,6.58,1.85
4.39,1,3.31,0.93
3.69,0.84,2.72,0.77
0.34,0.13,2.32,0.66
1.94,0.47,1.5,0.43
2.07,0.5,3.5,0.99
1.38,0.36,1.17,0.33
1.81,0.45,2.31,0.66
1.27,0.33,1.88,0.54
0.82,0.23,0.44,0.13
1.88,0.46,1.37,0.4
5.66,1.27,7.04,1.98
0,0.06,0,0.01
0,0.06,0.49,0.15
0.4,0.15,1.29,0.37
0,0.06,0.37,0.12
1.98,0.48,2.16,0.62
10.21,2.24,12.53,3.51
4.64,1.05,3.9,1.1
5.66,1.27,4.66,1.31
19.25,4.18,15.86,4.45
